ts,mid,book_imb,depth_imb25,book_liq,spread_bp,wall_up_bp,wall_dn_bp,micro_bp,oi,oi_chg,funding,trend_bp
2026-06-25 18:04:27,59616.5,-0.192,-0.192,151.3,0.17,3.1,0.0,0.07,33041.56,0.0,7.0156e-06,0.0
2026-06-25 18:13:19,59410.5,-0.884,-0.884,300.8,0.17,3.1,3.3,-0.08,33041.39,-0.001,2.9512e-06,-24.27
2026-06-25 19:41:18,59299.5,0.4,0.4,269.8,0.17,5.5,3.3,-0.02,33917.88,2.653,-3.9171e-06,-30.13
2026-06-25 21:17:43,59537.5,-0.756,-0.756,206.4,0.17,3.1,3.3,-0.08,33841.44,-0.225,-4.5227e-06,6.98
2026-06-25 22:50:09,59735.5,-0.397,-0.397,159.8,0.17,0.0,0.0,-0.02,33267.74,-1.695,-8.2815e-06,28.07
2026-06-26 00:00:49,59764.5,0.655,0.655,164.6,0.17,0.0,3.1,0.08,33170.15,-0.293,-7.6062e-06,23.04
2026-06-26 04:18:56,60045.5,-0.095,-0.095,162.5,0.17,3.1,0.0,0.07,31150.59,-6.088,1.25e-05,48.81
2026-06-26 08:04:46,60347.5,0.142,0.142,224.0,0.17,3.2,3.2,-0.08,32245.73,3.516,-1.39104e-05,69.03
2026-06-26 11:12:33,59438.5,0.466,0.466,220.2,0.17,0.0,3.3,0.01,32119.13,-0.393,2.5424e-06,-57.99
2026-06-26 13:20:15,58774.5,0.758,0.758,216.0,0.17,3.7,3.3,0.08,34356.46,6.966,-1.62619e-05,-120.14
2026-06-26 15:32:45,60186.5,0.612,0.612,247.4,0.17,3.2,3.1,0.08,33897.9,-1.335,2.1144e-06,82.1
2026-06-26 17:18:38,60053.5,-0.161,-0.161,122.3,0.17,3.1,0.0,-0.02,34030.15,0.39,-4.5318e-06,42.09
